     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  rapi_ite;         10;      10000;       3.472e+07;           7.335;          16.317;           9.512;           2.347 (24.670 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.860e+16;           6.178;           7.745;           6.617;           0.471 ( 7.111 %)
  naif_ite;         10;      10000;       1.969e+14;           5.406;          10.160;           6.180;           1.229 (19.889 %)
  rapi_rec;         10;      10000;       1.869e+12;          15.046;          29.352;          18.286;           3.754 (20.529 %)
  rapi_ite;         10;      10000;       3.287e+11;           7.335;          12.571;           8.263;           1.550 (18.762 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.608e+22;           6.178;           6.290;           6.254;           0.029 ( 0.456 %)
  naif_ite;         10;      10000;       1.817e+17;           5.404;           5.416;           5.407;           0.002 ( 0.043 %)
  rapi_rec;         10;      10000;       4.887e+17;          15.044;          21.524;          15.253;           1.127 ( 7.391 %)
  rapi_ite;         10;      10000;       7.609e+08;           7.335;          15.655;           9.234;           2.373 (25.702 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.561e+17;           6.177;           6.288;           6.183;           0.019 ( 0.310 %)
  naif_ite;         10;      10000;       5.282e+08;           5.410;          18.871;           8.982;           3.373 (37.554 %)
  rapi_rec;         10;      10000;       4.764e+12;          16.582;          53.656;          24.222;           6.827 (28.184 %)
