     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       8.066e+20;          30.847;          42.085;          31.788;           2.573 ( 8.095 %)
  naif_ite;         10;      10000;       1.182e+18;           4.247;           4.313;           4.256;           0.014 ( 0.325 %)
  rapi_rec;         10;      10000;       9.793e+18;          11.572;          23.949;          12.352;           2.352 (19.045 %)
  rapi_ite;         10;      10000;       5.811e+13;           7.717;           8.327;           7.756;           0.144 ( 1.853 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.230e+14;          30.847;          49.089;          31.650;           3.189 (10.077 %)
  naif_ite;         10;      10000;       2.766e+25;           4.249;           4.257;           4.251;           0.002 ( 0.038 %)
  rapi_rec;         10;      10000;       1.193e+25;          11.572;          11.582;          11.574;           0.002 ( 0.017 %)
  rapi_ite;         10;      10000;       6.294e+09;           7.718;           9.252;           7.851;           0.324 ( 4.126 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       9.890e+18;          30.846;          35.739;          31.016;           0.851 ( 2.743 %)
  naif_ite;         10;      10000;       8.301e+15;           4.247;           5.032;           4.297;           0.189 ( 4.392 %)
  rapi_rec;         10;      10000;       1.328e+21;          11.572;          15.467;          11.700;           0.677 ( 5.785 %)
  rapi_ite;         10;      10000;       6.576e+13;           7.719;           8.509;           8.236;           0.223 ( 2.703 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       9.360e+10;          30.846;          34.833;          31.054;           0.809 ( 2.604 %)
  naif_ite;         10;      10000;       5.524e+13;           4.647;           5.024;           5.009;           0.065 ( 1.301 %)
  rapi_rec;         10;      10000;       1.489e+11;          10.801;          10.813;          10.803;           0.002 ( 0.021 %)
