     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  rapi_ite;         10;      10000;       9.831e+15;           6.948;           7.343;           6.973;           0.094 ( 1.351 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       8.710e+17;           6.176;           6.205;           6.178;           0.005 ( 0.081 %)
  naif_ite;         10;      10000;       1.726e+17;           5.791;           5.927;           5.797;           0.023 ( 0.404 %)
  rapi_rec;         10;      10000;       2.146e+14;          10.415;          11.269;          10.450;           0.151 ( 1.447 %)
  rapi_ite;         10;      10000;       2.746e+22;           6.946;           7.362;           6.961;           0.072 ( 1.034 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.738e+15;           6.176;           6.203;           6.178;           0.005 ( 0.074 %)
  naif_ite;         10;      10000;       4.164e+17;           5.790;           5.802;           5.791;           0.002 ( 0.038 %)
  rapi_rec;         10;      10000;       9.150e+28;           9.646;          13.467;           9.926;           0.711 ( 7.166 %)
  rapi_ite;         10;      10000;       1.156e+20;           6.946;           6.963;           6.948;           0.003 ( 0.042 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.630e+14;           6.174;           6.204;           6.176;           0.005 ( 0.083 %)
  naif_ite;         10;      10000;       7.737e+19;           5.790;           5.799;           5.791;           0.002 ( 0.028 %)
  rapi_rec;         10;      10000;       7.461e+15;          10.031;          14.179;          10.392;           0.704 ( 6.778 %)
  rapi_ite;         10;      10000;       3.820e+09;           6.950;           7.345;           7.232;           0.166 ( 2.300 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.297e+13;           6.176;           6.208;           6.178;           0.005 ( 0.087 %)
  naif_ite;         10;      10000;       5.299e+12;           5.791;           6.494;           5.823;           0.125 ( 2.141 %)
  rapi_rec;         10;      10000;       1.163e+14;          10.416;          14.054;          10.560;           0.641 ( 6.072 %)
  rapi_ite;         10;      10000;       8.379e+19;           6.945;           6.967;           6.947;           0.004 ( 0.054 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.985e+20;           6.176;           6.220;           6.178;           0.008 ( 0.123 %)
  naif_ite;         10;      10000;       1.472e+12;           5.791;           5.930;           5.796;           0.024 ( 0.414 %)
  rapi_rec;         10;      10000;       1.805e+16;           9.647;          10.978;           9.808;           0.357 ( 3.640 %)
  rapi_ite;         10;      10000;       2.371e+11;           7.331;           7.345;           7.333;           0.002 ( 0.034 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.814e+12;           6.176;           7.390;           6.214;           0.211 ( 3.399 %)
  naif_ite;         10;      10000;       5.488e+13;           5.790;           5.815;           5.793;           0.005 ( 0.092 %)
  rapi_rec;         10;      10000;       1.806e+16;          10.042;          10.692;          10.422;           0.094 ( 0.907 %)
